상품명,상품설명,중량,생산자명,면세여부,상태
유부,,1kg,CJ씨푸드,N,냉동
조미유부,,160g,CJ씨푸드,N,냉장
조미유부,,640g,CJ씨푸드,N,냉장
삼각조미유부,,600g,CJ씨푸드,N,냉장
사각조미유부,,600g,CJ씨푸드,N,냉장
안동찜닭양념,,220g,CJ제일제당,N,냉장
양념장,,140g,CJ제일제당,N,냉장
된장찌개양념,,530g,CJ제일제당,N,냉장
양념장,,140g,CJ제일제당,N,냉장
양념장,,140g,CJ제일제당,N,냉장
된장찌개양념,,840g,CJ제일제당,N,냉장
양념장,,130g,CJ제일제당,N,냉장
양념장,,530g,CJ제일제당,N,냉장
우렁강된장,,500g,CJ제일제당,N,냉장
비빔된장,,140g,CJ제일제당,N,냉장
양념장,,150g,CJ제일제당,N,냉장
양념장,,150g,CJ제일제당,N,냉장
마카로니,,500g,INDOFOOD,N,상온
파마산치즈,,227g,KRAFT FOODS,N,냉장
A1소스,,283g,KRAFT FOODS,N,상온
키드니빈,,2.6kg,ㄴ,N,상온
17차,,340g,남양유업,N,상온
초콜릿맛드링크,,175g,남양유업,N,상온
초코우유,,250g,남양유업,N,냉장
커피,,500g,네스카페,N,상온
커피믹스,,1.2kg,네스카페,N,상온
캔커피,,5.25kg,네스카페,N,상온
커피믹스,,900g,네스카페,N,상온
커피믹스,,900g,네스카페,N,상온
플레인탄산수,,330g,네슬레,N,상온
코코아가루,,1.2kg,네슬레,N,상온
토마토소스,,3kg,네슬레,N,상온
라임탄산수,,330g,네슬레,N,상온
플레인탄산수,,200g,네슬레,N,상온
플레인탄산수,,750g,네슬레,N,상온
커피,,500g,동서식품,N,상온
커피,,300g,동서식품,N,상온
커피믹스,,240g,동서식품,N,상온
커피,,500g,동서식품,N,상온
커피,,500g,동서식품,N,상온
크리머,,1kg,동서식품,N,상온
커피믹스,,1.2kg,동서식품,N,상온
커피,,500g,동서식품,N,상온
모카커피믹스,,1kg,동서식품,N,상온
커피믹스,,1.18kg,동서식품,N,상온
커피믹스,,2.457kg,동서식품,N,상온
커피믹스,,1.2kg,동서식품,N,상온
커피믹스,,649g,동서식품,N,상온
부드러운블랙,,280g,동서식품,N,상온
콜라,,1.5kg,롯데칠성,N,상온
콜라,,250g,롯데칠성,N,상온
생수,,500g,롯데칠성,N,상온
마일드커피,,175g,롯데칠성,N,상온
콜라,,355g,롯데칠성,N,상온
콜라,,245g,롯데칠성,N,상온
생수,,300g,롯데칠성,N,상온
생수,,500g,롯데칠성,N,상온
콜라,,1.25kg,롯데칠성,N,상온
게맛살,,1kg,사조대림,N,냉장
게맛살,,500g,사조대림,N,냉장
요구르트,,65g,서울우유,N,냉장
요구르트,,80g,서울우유,N,냉장
흰우유,,180g,서울우유,Y,냉장
냉면육수,,310g,얼음골푸드,N,상온
돈까스소스,,2kg,얼음골푸드,N,상온
미트볼,,150g,오뚜기,N,상온
사리면,,115g,오뚜기,N,상온
봉지라면,,120g,오뚜기,N,상온
쇠고기짜장,,200g,오뚜기,N,상온
약간매운맛카레,,200g,오뚜기,N,상온
쇠고기카레,,200g,오뚜기,N,상온
스프,,285g,오뚜기,N,상온
산매실차,,1.5kg,우리원식품,N,상온
냉동라면,,8.8kg,천일식품,N,냉동
마요네즈,,3.2kg,청정원,N,상온
핫소스,,178g,코리아제니스,N,상온
스테이크소스,,260g,코리아제니스,N,상온
핫소스,,180g,코리아제니스,N,상온
스테이크소스,,930g,코리아제니스,N,상온
사이다,,355g,코카콜라,N,상온
킨사이다,,250g,코카콜라,N,상온
킨사이다,,1.5kg,코카콜라,N,상온
크림치즈,,1kg,프로마쥬벨,N,냉장
순창식초,,12kg,하이코리아,N,상온
겨자비소스,,1kg,유니푸드,N,상온
함흥냉면,,2kg,옥천식품,N,냉동
보리차,,300g,오푸드,N,상온
옥수수차,,300g,오푸드,N,상온
쟈스민차,,454g,엠푸드,N,상온
자스민차,,1kg,엠푸드,N,상온
칡냉면,,2kg,별가식품,N,냉동
윈너부어스트,,1kg,미르스타푸드,N,냉동
파닭꼬치,,400g,때때로식품,Y,냉동
북어장소스,,2kg,다고내푸드,N,상온
바베큐불고기토핑,,1kg,남아식품,N,냉동
탄탄직화구이,,1kg,남아식품,N,냉동
리얼비프스테이크,,1kg,남아식품,N,냉동
오징어다리가라아게,,1kg,나린식품,N,냉동
스프볼,,720g,구스F&B,N,냉동
치킨브리또,,140g,구스F&B,N,냉동
불고기브리또,,140g,구스F&B,N,냉동
건포도스콘,,540g,구스F&B,N,냉동
햄버거빵,,2.88kg,구스F&B,N,냉동
먹물번,,3.36kg,구스F&B,N,냉동
파마산치즈,,1kg,,N,상온
머스타드,,3.78kg,,N,상온
또띠아,,1.02kg,,N,냉동
망고퓨레,,1kg,,N,냉동
칡냉면육수,,330g,,N,냉동
초코아이스크림,,5kg,,N,냉동
천사채,,1kg,,N,상온
알로에주스,,1.5kg,,N,상온
마운틴블라스트,,600ml,,N,상온
오렌지주스,,210g,,N,냉장
칠리소스,,3kg,,N,상온
녹차라떼파우더,,500g,,N,상온
